date,Open,High,Low,Values,Adj Close,Volume
22-12-2022,213,214.3000031,206.1000061,208.0500031,208.0500031,4074547
23-12-2022,206.3000031,207.4499969,191.6499939,192.8000031,192.8000031,4592659
26-12-2022,193.8000031,206.3000031,189.1000061,205.1499939,205.1499939,4880340
27-12-2022,207,209.1499939,204.4499969,207.5,207.5,2878447
28-12-2022,207.9499969,209.8000031,205.5,208.8999939,208.8999939,1964718
29-12-2022,207,208.5,204.3000031,207.6999969,207.6999969,1872322
30-12-2022,208.75,214.6999969,208.1000061,212.8000031,212.8000031,3384584
02-01-2023,213.5,217.3500061,211.8000031,215.25,215.25,2391543
03-01-2023,215.8000031,218.4499969,215.1000061,216.6999969,216.6999969,1764051
04-01-2023,216.3000031,216.8000031,212.1499939,213.3000031,213.3000031,1422706
05-01-2023,213,214.5,210.5,214.0500031,214.0500031,1618137
06-01-2023,213.6000061,214.8999939,208.3500061,210.25,210.25,1430687
